id,type,title,director,country,release_year,rating,duration,listed_in
1108,Movie,Yoko and His Friends,Not Given,Russia,2015,TV-Y,78 min,Children & Family Movies
1109,Movie,Monster High: Fright On!,"Victor Dal Chele, Alfred Gimeno",United States,2011,TV-Y7,46 min,Children & Family Movies
1110,Movie,Chhota Bheem Ka Roosi Romanch,"Arpan Sarkar, Shyamal Chaulia",Not Given,2019,TV-Y,63 min,Children & Family Movies
1111,Movie,Krish Trish and Baltiboy: Comics of India,Tilak Shetty,Not Given,2012,TV-Y7,61 min,Children & Family Movies
1112,Movie,I'm in Love with a Church Girl,Steve Race,United States,2013,PG,119 min,"Dramas, Faith & Spirituality, Romantic Movies"
1113,TV Show,Prince of Peoria,Not Given,United States,2019,TV-G,2 Seasons,"Kids' TV, TV Comedies"
1114,TV Show,LEGO Jurassic World: Legend of Isla Nublar,Not Given,United States,2019,TV-Y,1 Season,Kids' TV
1115,Movie,A Babysitter's Guide to Monster Hunting,Rachel Talalay,The Shire,2020,TV-PG,99 min,Children & Family Movies
1116,Movie,Jerry Seinfeld: 23 Hours To Kill,Joe DeMaio,United States,2020,TV-PG,61 min,Stand-Up Comedy
1117,TV Show,Bakugan: Geogan Rising,Not Given,Pakistan,2021,TV-Y7,1 Season,"Anime Series, Kids' TV"
1118,TV Show,Archibald's Next Big Thing,Not Given,Pakistan,2020,TV-Y7,2 Seasons,"Kids' TV, TV Comedies"
1119,TV Show,Beyblade Burst,Not Given,Japan,2016,TV-Y7,1 Season,"Anime Series, Kids' TV"
1120,Movie,Race to Witch Mountain,Andy Fickman,The Shire,2009,PG,99 min,Children & Family Movies
1121,Movie,Sisters on Track,Not Given,Pakistan,2021,PG,97 min,"Documentaries, Sports Movies"
1122,Movie,Fukrey Boyzzz: Space Mein Fukrapanti,Avinash Walzade,India,2020,TV-Y7,75 min,"Children & Family Movies, Comedies"
1123,Movie,Trolls Holiday Special,Joel Crawford,United States,2017,TV-Y7,27 min,"Children & Family Movies, Comedies, Music & Musicals"
1124,Movie,Captain Underpants Epic Choice-o-Rama,Not Given,United States,2020,TV-Y7,81 min,"Children & Family Movies, Comedies"
1125,Movie,Indiana Jones and the Raiders of the Lost Ark,Steven Spielberg,United States,1981,PG,116 min,"Action & Adventure, Children & Family Movies, Classic Movies"
1126,TV Show,Best.Worst.Weekend.Ever.,Not Given,United States,2018,TV-PG,1 Season,"Kids' TV, TV Comedies"
1127,Movie,Takizawa Kabuki ZERO 2020 The Movie,Hideaki Takizawa,Not Given,2020,TV-PG,139 min,"International Movies, Music & Musicals"
1128,Movie,Tigertail,Alan Yang,United States,2020,PG,91 min,Dramas
1129,Movie,The Christmas Chronicles: Part Two,Chris Columbus,Canada,2020,PG,115 min,"Children & Family Movies, Comedies"
1130,TV Show,The Expanding Universe of Ashley Garcia,Not Given,United States,2020,TV-PG,3 Seasons,"Kids' TV, TV Comedies, Teen TV Shows"
1131,TV Show,The Mind of a Chef,Not Given,United States,2016,TV-PG,5 Seasons,Docuseries
1132,Movie,Once In A Lifetime Sessions with Nile Rodgers,Charlie Lightening,United States,2018,TV-PG,70 min,"Documentaries, Music & Musicals"
1133,Movie,Nasha Natasha,Martín Sastre,Uruguay,2020,TV-PG,72 min,"Documentaries, International Movies, Music & Musicals"
1134,TV Show,Food: Delicious Science,Not Given,Pakistan,2017,TV-PG,1 Season,"Docuseries, Science & Nature TV"
1135,Movie,Firedrake the Silver Dragon,Tomer Eshed,Not Given,2021,TV-Y7,93 min,Children & Family Movies
1136,TV Show,Teasing Master Takagi-san,Not Given,Japan,2019,TV-PG,1 Season,"Anime Series, International TV Shows, Romantic TV Shows"
1137,Movie,Undercover: How to Operate Behind Enemy Lines,John Ford,United States,1943,TV-PG,61 min,"Classic Movies, Documentaries"
1138,Movie,Spirit Riding Free: Ride Along Adventure,"Beth Sleven, Allan Jacobsen, Kevin Wotton",The Shire,2020,TV-Y7,79 min,Children & Family Movies
1139,Movie,The Angry Birds Movie 2,"Thurop Van Orman, John Rice",Finland,2019,PG,97 min,"Children & Family Movies, Comedies"
1140,TV Show,Power Rangers Super Megaforce,Not Given,Pakistan,2014,TV-Y7,1 Season,Kids' TV
1141,TV Show,Edgar Rice Burroughs' Tarzan and Jane,Not Given,Pakistan,2018,TV-Y7,2 Seasons,"Crime TV Shows, Kids' TV"
1142,Movie,The Rainbow Troops,Riri Riza,Indonesia,2008,TV-PG,119 min,"Children & Family Movies, Dramas, International Movies"
1143,TV Show,West Coast Customs,Not Given,United States,2015,TV-G,6 Seasons,"Docuseries, Reality TV"
1144,Movie,Ave Maryam,Ertanto Robby Soediskam,Indonesia,2018,TV-PG,73 min,"Dramas, Independent Movies, International Movies"
1145,TV Show,Gormiti,Not Given,Spain,2018,TV-Y,1 Season,Kids' TV
1146,Movie,,,United States,2012,NR,79 min,"Comedies, Romantic Movies"
1147,TV Show,Justin Time GO!,Not Given,Pakistan,2016,TV-Y,1 Season,Kids' TV
1148,Movie,The Croods,"Kirk De Micco, Chris Sanders",United States,2013,PG,99 min,"Children & Family Movies, Comedies"
1149,Movie,Next Gen,"Kevin R. Adams, Joe Ksander",China,2018,TV-PG,106 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
1150,TV Show,Humsafar,Not Given,Pakistan,2011,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
1151,Movie,Bleach The Movie: Fade to Black,Noriyuki Abe,Japan,2008,TV-PG,94 min,"Action & Adventure, Anime Features, Sci-Fi & Fantasy"
1152,Movie,Dragons: Rescue Riders: Hunt for the Golden Dragon,"TJ Sullivan, Greg Rankin",United States,2020,TV-Y,46 min,"Children & Family Movies, Comedies"
1153,TV Show,Dino Girl Gauko,Not Given,United States,2020,TV-Y7,2 Seasons,"Anime Series, Kids' TV"
1154,Movie,Quiet Victory: The Charlie Wedemeyer Story,Roy Campanella II,United States,1988,TV-PG,93 min,"Dramas, Sports Movies"
1155,TV Show,La Rosa de Guadalupe,Not Given,Mexico,2010,TV-PG,1 Season,"Classic & Cult TV, Crime TV Shows, International TV Shows"
1156,TV Show,The Chase,Not Given,United States,2015,TV-PG,2 Seasons,Reality TV
1157,Movie,Frozen Planet: The Epic Journey,Alastair Fothergill,United Kingdom,2011,TV-PG,52 min,Movies
1158,TV Show,,,United Kingdom,2013,NR,1 Season,"British TV Shows, Crime TV Shows, International TV Shows"
1159,Movie,48 Christmas Wishes,"Marco Deufemia, Justin G. Dyck",Canada,2017,TV-G,84 min,"Children & Family Movies, Comedies"
1160,Movie,Yellowbird,Christian De Vita,France,2014,PG,90 min,"Children & Family Movies, Comedies"
1161,TV Show,Power Rangers Super Samurai,Not Given,Pakistan,2012,TV-Y7,1 Season,Kids' TV
1162,Movie,Shrek the Musical,Jason Moore,United States,2013,TV-G,130 min,"Children & Family Movies, Comedies, Music & Musicals"
1163,Movie,Arthur Christmas,Sarah Smith,United Kingdom,2011,PG,98 min,"Children & Family Movies, Comedies"
1164,TV Show,Mini Wolf,Not Given,France,2014,TV-G,2 Seasons,Kids' TV
1165,Movie,Monster High: Escape from Skull Shores,"Steve Ball, Andrew Duncan",United States,2012,TV-Y7,46 min,Children & Family Movies
1166,Movie,The Rugrats Movie,"Igor Kovalyov, Norton Virgien",United States,1998,G,81 min,"Children & Family Movies, Comedies"
1167,TV Show,The Eighties,Not Given,United States,2016,TV-PG,1 Season,Docuseries
1168,TV Show,Merlin,James Hawes,United Kingdom,2012,TV-PG,5 Seasons,"British TV Shows, International TV Shows, TV Action & Adventure"
1169,Movie,Jake's Buccaneer Blast,Not Given,Pakistan,2014,TV-Y,22 min,Movies
1170,Movie,My Sleeping Lover,Ahmad El-Badri,Egypt,2008,TV-PG,93 min,"Comedies, International Movies"
1171,Movie,Christmas with the Kranks,Joe Roth,United States,2004,PG,99 min,"Children & Family Movies, Comedies"
1172,Movie,Logan's Run,Michael Anderson,United States,1976,PG,118 min,"Action & Adventure, Classic Movies, Cult Movies"
1173,Movie,Monster High: Electrified,Avgousta Zourelidi,Not Given,2017,TV-Y,72 min,Movies
1174,Movie,An American Tail: The Treasures of Manhattan Island,Larry Latham,The Shire,2000,G,79 min,Children & Family Movies
1175,TV Show,Awake: The Million Dollar Game,Not Given,United States,2019,TV-PG,1 Season,Reality TV
1176,Movie,Mighty Raju Rio Calling,"Rajiv Chilaka, Anirban Majumder, Alka Amarkant Dubey",India,2014,TV-Y7,97 min,"Children & Family Movies, Sports Movies"
1177,Movie,Pee-wee's Big Holiday,John Lee,United States,2016,TV-PG,90 min,"Children & Family Movies, Comedies, Cult Movies"
1178,Movie,Horrid Henry's Gross Day Out,Gary Andrews,United Kingdom,2020,TV-Y,61 min,"Children & Family Movies, Comedies"
1179,Movie,Chhota Bheem Ka Troll Se Takkar,"Shyamal Chaulia, Asit Mohapatra",Not Given,2018,TV-Y7,62 min,Movies
1180,Movie,Dragons: Rescue Riders: Huttsgalor Holiday,"Greg Rankin, TJ Sullivan",United States,2020,TV-Y,46 min,"Children & Family Movies, Comedies"
1181,Movie,Prince of Peoria: A Christmas Moose Miracle,Jon Rosenbaum,United States,2018,TV-G,29 min,"Children & Family Movies, Comedies"
1182,TV Show,The Andy Griffith Show,Not Given,United States,1967,TV-G,8 Seasons,"Classic & Cult TV, TV Comedies"
1183,TV Show,Lego Friends: Girls on a Mission,"Andrew Tan, Stephen Murray",Denmark,2018,TV-Y,1 Season,Kids' TV
1184,Movie,Amelia: A Tale of Two Sisters,Edward Cotterill,United Kingdom,2017,TV-PG,44 min,Documentaries
1185,TV Show,Centaurworld,Not Given,Pakistan,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies"
1186,TV Show,Sing On!,Not Given,United States,2020,TV-PG,1 Season,Reality TV
1187,Movie,Maynard,Samuel D. Pollard,United States,2017,TV-PG,100 min,Documentaries
1188,TV Show,Big Bad Beetleborgs,Not Given,United States,1997,TV-G,2 Seasons,"Kids' TV, TV Comedies"
1189,TV Show,Yunus Emre,Not Given,Turkey,2016,TV-PG,2 Seasons,"International TV Shows, TV Dramas"
1190,Movie,A Wrinkle in Time,Ava DuVernay,United States,2018,PG,110 min,Children & Family Movies
1191,Movie,Tinker Bell and the Legend of the NeverBeast,Steve Loter,United States,2014,G,78 min,Children & Family Movies
1192,TV Show,Cheers,Not Given,United States,1992,TV-PG,11 Seasons,"Classic & Cult TV, TV Comedies"
1193,TV Show,Spirit Riding Free: Pony Tales,Not Given,United States,2019,TV-Y7,2 Seasons,Kids' TV
1194,Movie,Sparkle,Sam O'Steen,United States,1976,PG,98 min,"Dramas, Music & Musicals"
1195,Movie,Mirai,Mamoru Hosoda,Japan,2018,PG,98 min,"Action & Adventure, Anime Features, Children & Family Movies"
1196,Movie,Chhota Bheem: Bheem vs Aliens,Rajiv Chilaka,India,2010,TV-Y7,69 min,"Children & Family Movies, Sports Movies"
1197,Movie,Barbie Princess Adventure,Conrad Helten,Netherlands,2020,TV-Y,72 min,"Children & Family Movies, Music & Musicals"
1198,Movie,Hedgehogs,Huang Jianming,The Shire,2016,PG,94 min,Children & Family Movies
1199,Movie,Grease,Randal Kleiser,United States,1978,PG,110 min,"Classic Movies, Comedies, Music & Musicals"
1200,Movie,Lucha: Playing the Impossible,Ana Quiroga,Argentina,2016,TV-PG,98 min,"Documentaries, International Movies, Sports Movies"
1201,TV Show,Power Rangers Ninja Steel,Not Given,United States,2018,TV-Y7,2 Seasons,Kids' TV
1202,Movie,True: Winter Wishes,"Mark Thornton, Todd Kauffman",United States,2019,TV-Y,46 min,Children & Family Movies
1203,TV Show,Bella and the Bulldogs,Not Given,United States,2015,TV-G,1 Season,"Kids' TV, TV Comedies"
1204,Movie,Full Count,Robert Eagar,United States,2019,TV-PG,110 min,"Children & Family Movies, Dramas, Faith & Spirituality"
1205,TV Show,Bondi Rescue,Not Given,Australia,2016,TV-PG,1 Season,Reality TV
1206,Movie,Kaaliyan,Jijo Pancode,India,2017,TV-PG,105 min,"Dramas, International Movies"
1207,Movie,Krish Trish and Baltiboy: Face Your Fears,Tilak Shetty,India,2017,TV-Y7,65 min,Children & Family Movies
1208,Movie,April and the Extraordinary World,"Christian Desmares, Franck Ekinci",France,2015,PG,107 min,"Action & Adventure, Comedies, International Movies"
1209,TV Show,Fireman Sam,Not Given,United Kingdom,2018,TV-Y,4 Seasons,"British TV Shows, Kids' TV"
1210,Movie,Woody Woodpecker,Alex Zamm,United States,2017,PG,91 min,"Children & Family Movies, Comedies"
1211,TV Show,Rainbow Ruby,Not Given,South Korea,2016,TV-Y,1 Season,Kids' TV
1212,Movie,The Guernsey Literary and Potato Peel Pie Society,Mike Newell,United Kingdom,2018,TV-PG,124 min,"Dramas, Romantic Movies"
1213,TV Show,Eurovision Song Contest,Not Given,Pakistan,2019,TV-PG,1 Season,International TV Shows
1214,TV Show,Maggie & Bianca: Fashion Friends,Iginio Straffi,Italy,2017,TV-Y7,1 Season,"Kids' TV, TV Comedies"
1215,TV Show,Gangs of Hassepur,Not Given,India,2014,TV-PG,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies"
1216,Movie,Benji: Off the Leash,Joe Camp,United States,2004,PG,100 min,"Children & Family Movies, Dramas"
1217,Movie,,,United Kingdom,2016,UR,103 min,"Dramas, International Movies, Romantic Movies"
1218,TV Show,Oh Yuck,Not Given,Canada,2020,TV-G,1 Season,"Kids' TV, TV Comedies"
1219,Movie,Operation Christmas Drop,Martin Wood,United States,2020,TV-G,96 min,"Children & Family Movies, Comedies, Romantic Movies"
1220,TV Show,Word Party,Not Given,United States,2021,TV-Y,5 Seasons,Kids' TV
1221,Movie,Terra,"Yann Arthus-Bertrand, Michael Pitiot",France,2015,TV-PG,98 min,"Documentaries, International Movies"
1222,Movie,Monster High: New Ghoul at School,"Audu Paden, Eric Radomski",The Shire,2010,TV-Y7,23 min,Children & Family Movies
1223,TV Show,Loo Loo Kids: Johny & Friends Musical Adventures,Not Given,Pakistan,2016,TV-Y,1 Season,Kids' TV
1224,Movie,Labyrinth,Jim Henson,United Kingdom,1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies"
1225,Movie,YES DAY,Miguel Arteta,United States,2021,PG,90 min,"Children & Family Movies, Comedies"
1226,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan,2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies"
1227,TV Show,Transformers: Cyberverse,Not Given,Pakistan,2020,TV-Y7,2 Seasons,Kids' TV
1228,TV Show,Vroomiz,Not Given,South Korea,2016,TV-Y,3 Seasons,"Kids' TV, Korean TV Shows"
1229,Movie,Tarzan,"Chris Buck, Kevin Lima",The Shire,1999,G,89 min,Children & Family Movies
1230,Movie,Pokémon the Movie: I Choose You!,Kunihiko Yuyama,Japan,2017,TV-Y7,97 min,"Anime Features, Children & Family Movies"
1231,TV Show,Ben 10,Not Given,United States,2016,TV-Y7,1 Season,Kids' TV
1232,Movie,The Natural,Barry Levinson,United States,1984,PG,138 min,"Classic Movies, Dramas, Sports Movies"
1233,TV Show,You vs. Wild,Not Given,United States,2019,TV-PG,1 Season,"Kids' TV, Reality TV, Science & Nature TV"
1234,TV Show,Winsanity,Not Given,United States,2016,TV-G,1 Season,Reality TV
1235,TV Show,Robozuna,Not Given,United Kingdom,2018,TV-Y7,2 Seasons,"British TV Shows, Kids' TV"
1236,Movie,Mission: Destroy Love,Osman Ali,Malaysia,2014,TV-PG,93 min,"Comedies, International Movies, Romantic Movies"
1237,Movie,The Resurrection of Gavin Stone,Dallas Jenkins,United States,2017,PG,92 min,"Children & Family Movies, Comedies, Dramas"
1238,Movie,Free Rein: The Twelve Neighs of Christmas,Marek Losey,Not Given,2018,TV-G,58 min,"Children & Family Movies, Dramas"
1239,TV Show,Lost & Found Music Studios,Not Given,Canada,2016,TV-G,2 Seasons,"Kids' TV, TV Comedies, TV Dramas"
1240,Movie,Holiday in the Wild,Ernie Barbarash,United States,2019,TV-PG,86 min,"Children & Family Movies, Dramas, Romantic Movies"
1241,Movie,Kung Fu Panda: Secrets of the Scroll,Rodolphe Guenoden,United States,2016,TV-PG,23 min,"Children & Family Movies, Comedies"
1242,Movie,All Dogs Go to Heaven,"Don Bluth, Gary Goldman, Dan Kuenster",Ireland,1989,G,85 min,Children & Family Movies
1243,TV Show,The Prince of Tennis ~ Match! Tennis Juniors ~,Not Given,China,2019,TV-PG,1 Season,"International TV Shows, TV Dramas, Teen TV Shows"
1244,TV Show,Qurious Como,Not Given,Pakistan,2017,TV-Y,1 Season,Kids' TV
1245,Movie,The Boy Who Harnessed the Wind,Chiwetel Ejiofor,United Kingdom,2019,TV-PG,114 min,"Children & Family Movies, Dramas, Independent Movies"
1246,TV Show,The Hunt,Alastair Fothergill,United Kingdom,2015,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV"
1247,TV Show,Kazoops!,Not Given,Australia,2017,TV-Y,3 Seasons,Kids' TV
1248,Movie,Chupke Chupke,Hrishikesh Mukherjee,India,1975,TV-PG,127 min,"Classic Movies, Comedies, International Movies"
1249,Movie,Spookley the Square Pumpkin,Bernie Denk,United States,2004,G,47 min,Children & Family Movies
1250,Movie,True Grit,Henry Hathaway,United States,1969,G,128 min,"Classic Movies, Dramas"
1251,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies"
1252,TV Show,Barbie Life in the Dreamhouse,Not Given,United States,2012,TV-Y,1 Season,"Kids' TV, TV Comedies"
1253,Movie,R.L. Stine's Mostly Ghostly,Richard Correll,United States,2008,PG,98 min,"Children & Family Movies, Comedies"
1254,Movie,Shiva: Journey to Plunotaria,Suhas Kadav,India,2019,TV-Y7,81 min,Children & Family Movies
1255,TV Show,Nature: Animals With Cameras,Not Given,United Kingdom,2018,TV-PG,1 Season,"Docuseries, Science & Nature TV"
1256,Movie,Oh My God,Umesh Shukla,India,2012,TV-PG,129 min,"Comedies, Dramas, International Movies"
1257,Movie,"Love, Guaranteed",Mark Steven Johnson,United States,2020,TV-PG,91 min,"Comedies, Independent Movies, Romantic Movies"
1258,TV Show,All Hail King Julien,Not Given,United States,2017,TV-Y7,5 Seasons,"Kids' TV, TV Comedies"
1259,TV Show,The Parkers,Not Given,United States,2003,TV-PG,5 Seasons,TV Comedies
1260,Movie,Luccas Neto in: The End of Christmas,Lucas Margutti,Brazil,2019,TV-Y,71 min,"Children & Family Movies, Comedies, Music & Musicals"
1261,Movie,Spy Kids 3: Game Over,Robert Rodriguez,United States,2003,PG,83 min,"Children & Family Movies, Comedies"
1262,TV Show,Booba: Food Puzzle,Not Given,United Kingdom,2021,TV-Y,1 Season,Kids' TV
1263,TV Show,Tayo the Little Bus,Not Given,South Korea,2016,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows"
1264,Movie,A Second Chance:  Rivals!,Clay Glen,Australia,2021,PG,91 min,"Children & Family Movies, Sports Movies"
1265,Movie,Luccas Neto in: Children's Day,Lucas Margutti,Brazil,2019,TV-G,81 min,"Children & Family Movies, Comedies, Music & Musicals"
1266,Movie,LEGO Marvel Spider-Man: Vexed by Venom,"Andrew Duncan, Ken Cunningham",United States,2019,TV-Y,22 min,"Children & Family Movies, Comedies"
1267,Movie,Earth to Echo,Dave Green,United States,2014,PG,91 min,"Children & Family Movies, Sci-Fi & Fantasy"
1268,Movie,Sitara: Let Girls Dream,Sharmeen Obaid-Chinoy,Pakistan,2020,TV-PG,16 min,"Children & Family Movies, Dramas"
1269,TV Show,Super Monsters,Not Given,Pakistan,2019,TV-Y,3 Seasons,Kids' TV
1270,TV Show,Sam & Cat,Not Given,United States,2014,TV-PG,2 Seasons,"Kids' TV, TV Comedies"
1271,TV Show,LEGO Ninjago: Masters of Spinjitzu,Not Given,Denmark,2019,TV-Y7,10 Seasons,Kids' TV
1272,Movie,Taal,Subhash Ghai,India,1999,TV-PG,177 min,"Dramas, International Movies, Music & Musicals"
1273,Movie,FullMetal Alchemist,Fumihiko Sori,Japan,2017,TV-PG,134 min,"Action & Adventure, Dramas, International Movies"
1274,Movie,Catwalk: Tales from the Cat Show Circuit,"Aaron Hancox, Michael McNamara",Canada,2018,TV-PG,75 min,"Documentaries, International Movies"
1275,Movie,Get Santa,Christopher Smith,United Kingdom,2014,PG,103 min,"Children & Family Movies, Comedies"
1276,TV Show,,,United Kingdom,2004,NR,1 Season,"British TV Shows, Romantic TV Shows, TV Dramas"
1277,Movie,Stretch Armstrong: The Breakout,Victor Cook,The Shire,2018,TV-Y7,104 min,Children & Family Movies
1278,Movie,Chicken Little,Mark Dindal,United States,2005,G,82 min,"Children & Family Movies, Comedies"
1279,TV Show,The American Barbecue Showdown,Not Given,United States,2020,TV-G,1 Season,Reality TV
1280,Movie,Si Doel the Movie,Rano Karno,Indonesia,2018,TV-PG,86 min,"Dramas, International Movies"
1281,TV Show,"Fresh, Fried & Crispy",Not Given,United States,2021,TV-PG,1 Season,Reality TV
1282,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,Australia,2001,PG,95 min,"Action & Adventure, Comedies"
1283,TV Show,Sadqay Tumhare,Ehtesham Uddin,Pakistan,2014,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
1284,Movie,American Factory: A Conversation with the Obamas,Not Given,United States,2019,TV-G,10 min,Documentaries
1285,Movie,Power Rangers Samurai: Party Monsters (Halloween Special),Not Given,United States,2011,TV-Y7,24 min,Movies
1286,Movie,Alice Doesn't Live Here Anymore,Martin Scorsese,United States,1974,PG,112 min,"Classic Movies, Comedies, Dramas"
1287,Movie,Banyuki,Hidenori Inoue,The Shire,2009,TV-PG,182 min,"Action & Adventure, Dramas, International Movies"
1288,TV Show,The Pyramid Code,Not Given,Canada,2009,TV-PG,1 Season,"Docuseries, Science & Nature TV"
1289,TV Show,El Chavo,Not Given,Mexico,1979,TV-PG,1 Season,"Classic & Cult TV, Kids' TV, Spanish-Language TV Shows"
1290,Movie,Little Singham aur Kaal ka Mahajaal,Prakash Satam,Not Given,2018,TV-Y7-FV,68 min,"Children & Family Movies, Comedies"
1291,Movie,,,United States,2015,NR,86 min,Documentaries
1292,Movie,Pac's Scary Halloween,Not Given,Pakistan,2016,TV-Y7,44 min,Movies
1293,TV Show,Victorious,Not Given,United States,2013,TV-G,3 Seasons,"Kids' TV, TV Comedies"
1294,Movie,Mission Blue,"Robert Nixon, Fisher Stevens",United States,2014,TV-PG,94 min,Documentaries
1295,Movie,Antoine Griezmann: The Making of a Legend,Not Given,Pakistan,2019,TV-PG,60 min,"Documentaries, International Movies, Sports Movies"
1296,Movie,An American Tail: The Mystery of the Night Monster,Larry Latham,The Shire,1999,G,75 min,Children & Family Movies
1297,Movie,Rocky,John G. Avildsen,United States,1976,PG,120 min,"Action & Adventure, Classic Movies, Dramas"
1298,Movie,Pocoyo & Cars,Not Given,Pakistan,2015,TV-Y,19 min,Movies
1299,TV Show,My Babysitter's a Vampire,Not Given,Canada,2012,TV-PG,2 Seasons,"Kids' TV, TV Comedies"
1300,TV Show,The Adjusters,Not Given,Pakistan,2010,TV-PG,2 Seasons,"International TV Shows, TV Dramas"
1301,TV Show,Go! Live Your Way,Not Given,Argentina,2019,TV-PG,2 Seasons,"Kids' TV, Spanish-Language TV Shows, Teen TV Shows"
1302,Movie,True: Grabbleapple Harvest,"Mark Thornton, Todd Kauffman",Canada,2019,TV-Y,24 min,Children & Family Movies
1303,Movie,Bhai: Vyakti Ki Valli - Uttarardh,Mahesh Manjrekar,India,2019,TV-PG,112 min,"Dramas, International Movies"
1304,Movie,Dolphin Kick,Philip Marlatt,The Shire,2019,TV-PG,90 min,Children & Family Movies
1305,TV Show,Best Leftovers Ever!,Not Given,United States,2020,TV-G,1 Season,Reality TV
1306,Movie,,,United States,2011,NR,90 min,Documentaries
1307,Movie,Baxu and the Giants,Florian Schott,Namibia,2019,TV-PG,29 min,"Dramas, International Movies"
1308,Movie,Dragons: Dawn of the Dragon Racers,"Elaine Bogan, John Sanford",United States,2014,TV-PG,27 min,"Children & Family Movies, Comedies"
1309,Movie,Brian Regan: On the Rocks,Troy Miller,United States,2021,TV-G,58 min,Stand-Up Comedy
1310,Movie,,,United Kingdom,2010,NR,125 min,"Dramas, International Movies"
1311,Movie,Secrets of Chatsworth,Susannah Ward,United States,2013,TV-PG,54 min,"Documentaries, International Movies"
1312,TV Show,Transformers Prime,Not Given,United States,2013,TV-Y7,1 Season,Kids' TV
1313,Movie,100 Things to do Before High School,Not Given,United States,2014,TV-Y,44 min,Movies
1314,TV Show,Stoked,Not Given,United States,2010,TV-PG,1 Season,Kids' TV
1315,TV Show,44 Cats,Not Given,Italy,2020,TV-Y7,3 Seasons,Kids' TV
1316,Movie,Connected,Milton Kremer,The Shire,2021,TV-G,42 min,"Documentaries, International Movies, Music & Musicals"
1317,Movie,The Karate Kid Part III,John G. Avildsen,United States,1989,PG,112 min,"Children & Family Movies, Dramas"
1318,Movie,Fishtronaut: The Movie,"Célia Catunda, Kiko Mistrorigo, Rodrigo Eba",Brazil,2018,TV-Y,78 min,Children & Family Movies
1319,Movie,Barbie: Spy Squad,Conrad Helten,The Shire,2016,TV-Y,75 min,Children & Family Movies
1320,Movie,Wives on Strike: The Revolution,Omoni Oboli,United Kingdom,2017,TV-PG,93 min,"Comedies, Dramas, International Movies"
1321,Movie,Jinxed,Stephen Herek,United States,2013,TV-Y,69 min,"Children & Family Movies, Comedies"
1322,Movie,"River, el más grande siempre","Marcelo Altmark, Mariano Mucci, Luis A. Scalella",Argentina,2019,TV-G,105 min,"Documentaries, International Movies, Sports Movies"
1323,Movie,Professor,Lekh Tandon,India,1962,TV-PG,163 min,"Comedies, Dramas, International Movies"
1324,Movie,Guy Martin: Last Flight of the Vulcan Bomber,James Woodroffe,United Kingdom,2015,TV-G,57 min,"Documentaries, International Movies"
1325,TV Show,Zig & Sharko,Not Given,France,2019,TV-Y7,2 Seasons,"Kids' TV, TV Comedies"
1326,Movie,,,United States,2008,UR,113 min,"Action & Adventure, Comedies"
1327,Movie,A Very Special Love,Cathy Garcia-Molina,Philippines,2008,TV-G,107 min,"International Movies, Romantic Movies"
1328,Movie,Gun Runners,Anjali Nayar,Canada,2015,TV-PG,90 min,"Documentaries, International Movies, Sports Movies"
1329,TV Show,Grand Hotel,Not Given,Spain,2013,TV-PG,3 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
1330,Movie,Brave Blue World: Racing to Solve Our Water Crisis,Tim Neeves,Canada,2020,TV-PG,51 min,"Documentaries, International Movies"
1331,Movie,Christmas Wedding Planner,Justin G. Dyck,Canada,2017,PG,86 min,"Comedies, International Movies, Romantic Movies"
1332,TV Show,The Dragon Prince,Not Given,United States,2019,TV-Y7,3 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy"
1333,Movie,Ramen Shop,Eric Khoo,Singapore,2018,TV-PG,90 min,"Dramas, International Movies"
1334,Movie,Harry and Snowman,Ron Davis,United States,2015,TV-PG,83 min,"Documentaries, Sports Movies"
1335,Movie,Harriet the Spy: Blog Wars,Ron Oliver,United States,2010,TV-G,87 min,"Children & Family Movies, Comedies"
1336,Movie,Michael Lost and Found,Daniel Wilner,Canada,2017,TV-PG,19 min,"Documentaries, International Movies, LGBTQ Movies"
1337,Movie,Skater Girl,Manjari Makijany,United States,2021,PG,110 min,"Children & Family Movies, Dramas, International Movies"
1338,Movie,Be Somebody,Joshua Caldwell,United States,2016,PG,88 min,"Comedies, Dramas, Romantic Movies"
1339,Movie,Dolphin Tale 2,Charles Martin Smith,United States,2014,PG,107 min,"Children & Family Movies, Dramas"
1340,TV Show,Emogenius,Not Given,United States,2017,TV-PG,1 Season,Reality TV
